Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend
4,314.0833333,2,27.0,130,6560.00754,0.0,0.006376263,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,False
0,0.0,0,0.0,39,1867.033333,0.0,0.020512821,0.0,0.0,Nov,2,4,4,2,Returning_Visitor,False
0,0.0,0,0.0,11,887.0,0.054545455,0.096969697,0.0,0.0,Nov,2,5,3,1,Returning_Visitor,False
3,13.33333333,4,68.5,72,1602.35,0.002747253,0.038988095,0.0,0.0,Nov,2,2,3,2,Returning_Visitor,False
2,27.5,0,0.0,44,1026.450758,0.004651163,0.037364341,0.0,0.0,Dec,2,2,9,3,Returning_Visitor,False
8,203.9166667,4,114.75,118,3903.167094,0.004098361,0.012520167,55.01131298,0.0,Nov,2,2,1,2,Returning_Visitor,False
0,0.0,0,0.0,13,1005.0,0.0,0.016666667,0.0,0.0,May,2,2,7,2,New_Visitor,False
0,0.0,0,0.0,5,91.0,0.0,0.06,0.0,0.6,May,1,1,1,3,Returning_Visitor,False
3,89.66666667,0,0.0,15,2022.117778,0.011764706,0.023529412,11.55399716,0.0,Sep,3,2,3,1,Returning_Visitor,False
0,0.0,0,0.0,11,315.0,0.0,0.036363636,0.0,0.0,Dec,3,2,6,2,New_Visitor,True
0,0.0,0,0.0,4,93.0,0.0,0.1,0.0,0.0,Mar,2,2,9,6,Returning_Visitor,False
4,352.0,0,0.0,17,229.3333333,0.011111111,0.031481481,0.0,0.0,Mar,1,1,1,1,Returning_Visitor,False
3,30.5,5,789.125,272,7434.743073,0.00931255,0.022108499,0.0,0.0,Nov,1,1,1,2,Returning_Visitor,False
0,0.0,0,0.0,3,16.0,0.066666667,0.133333333,0.0,0.0,Dec,2,4,7,3,Returning_Visitor,False
1,5.0,0,0.0,5,95.1,0.066666667,0.077777778,0.0,0.0,Oct,1,1,4,4,Returning_Visitor,False
2,58.25,3,47.75,24,833.1666667,0.028571429,0.053401361,0.0,0.0,Dec,3,2,1,1,Returning_Visitor,False
0,0.0,0,0.0,13,700.6666667,0.0,0.015384615,0.0,0.0,May,3,2,1,4,Returning_Visitor,False
0,0.0,0,0.0,24,272.0,0.056,0.090666667,0.0,0.8,May,3,2,3,4,Returning_Visitor,False
2,7.0,0,0.0,21,467.952381,0.047619048,0.068253968,0.0,0.0,May,2,5,1,3,Returning_Visitor,False
0,0.0,0,0.0,2,0.0,0.2,0.2,0.0,0.0,May,2,2,1,4,Returning_Visitor,False
2,70.6,0,0.0,27,213.0157143,0.0,0.007407407,79.51302667,0.0,Oct,2,2,1,3,New_Visitor,True
